Ville,Population,Densité,Pluie,Soleil
ville1,2187526,20755,637,1662
ville2,863310,3543,515,2858
ville3,516092,10583,832,2002
ville4,479553,3831,638,2031
ville5,340017,4777,733,2724
ville6,309346,4473,820,1791
ville7,285121,4719,629,2668
ville8,280966,3506,665,1695
ville9,254436,4888,944,2036
ville10,232787,6564,741,1618
ville11,216815,4164,694,1717
ville12,182460,3878,628,1701
ville13,172565,2144,718,1984
ville14,171953,3849,616,2840
ville15,170147,3687,790,1800
ville16,158454,8861,934,2066
ville17,156920,3763,761,1849
ville18,152960,3489,693,1799
ville19,150610,936,763,2663
ville20,147931,8760,636,1695
